precinct_id,avg_biss,avg_abughazaleh,avg_fine,avg_simmons,avg_amiwala,avg_huynh,avg_andrew,pct_biss_wins,pct_fine_wins,pct_abughazaleh_wins
CITY OF CHICAGO:WARD 48 PRECINCT 33,30.614561,26.637911,18.657681,9.6511164,6.2136898,3.8947523,4.3303418,62.422001,7.112,30.466
COOK:9600028,29.690512,15.401291,29.771383,6.4465218,5.7662334,3.4619467,9.4620714,47.791,50.792999,1.416
COOK:8200059,37.585739,20.554998,19.121567,9.3851604,4.787374,4.3111095,4.2537851,94.671997,2.967,2.3610001
COOK:8000060,29.010651,16.595184,28.039215,6.9010577,6.2779717,3.6597424,9.5160465,50.931,46.216999,2.852
COOK:8300019,32.602325,18.46697,24.638132,8.1149673,4.720521,3.4911222,7.9661069,75.583,21.035999,3.381
COOK:8200031,37.326916,20.326263,20.216002,8.9695749,4.9488277,3.8741453,4.3382378,93.630997,4.0440001,2.325
COOK:8200006,29.44665,15.649091,29.467062,6.4338198,5.971765,3.4690223,9.5622396,47.735001,50.618999,1.646
COOK:7501003,34.265175,27.501516,13.811276,9.5911579,7.2524056,3.6839511,3.8943195,76.841003,1.033,22.125999
COOK:7509005,34.883408,26.914045,13.430869,9.9071074,6.6692114,4.2487535,3.9467547,80.616997,.85299999,18.530001
COOK:8100013,33.54105,17.109417,25.977753,8.0961943,3.9877384,3.6750267,7.612988,75.757004,22.587,1.656
COOK:9600030,29.428308,15.872407,29.116938,6.7395668,5.9122443,3.5200913,9.4103622,48.827999,49.306,1.8660001
COOK:8300030,27.132679,25.317553,20.999466,9.4713221,5.8037167,3.903517,7.3716068,47.577999,17.735001,34.687
COOK:7505001,34.939087,27.046797,13.576178,9.7182188,6.737823,4.1200647,3.8615878,80.689003,.84500003,18.466
CITY OF CHICAGO:WARD 48 PRECINCT 16,26.744453,36.063972,12.954807,9.4580793,6.7282839,4.1595697,3.8909039,13.756,.56599998,85.678001
COOK:8000008,29.121233,16.3321,28.386959,6.837791,6.1618848,3.6317542,9.5284948,50.296001,47.215,2.4890001
CITY OF CHICAGO:WARD 50 PRECINCT 02,28.981539,16.139301,28.593729,6.584425,6.3066154,3.6160955,9.7781858,48.902,48.77,2.3280001
COOK:8200001,30.274502,14.84669,31.122627,6.0516667,5.5221357,3.0647218,9.117568,44.943001,54.195999,.861
CITY OF CHICAGO:WARD 50 PRECINCT 08,29.722319,29.072216,15.289116,10.537817,6.7616091,4.465786,4.1507554,50.799,2.766,46.435001
COOK:8300056,33.23399,16.65991,27.256281,7.6540704,3.9902759,3.4174535,7.7879791,70.912003,27.746,1.342
COOK:8200028,35.984085,25.049181,15.686587,9.8056278,5.6850667,4.0407677,3.7486422,88.037003,1.4349999,10.528
CITY OF CHICAGO:WARD 40 PRECINCT 04,29.977892,28.435686,16.036163,10.432933,6.5827289,4.3773437,4.157547,54.339001,3.4879999,42.173
CITY OF CHICAGO:WARD 50 PRECINCT 04,36.739578,22.337898,17.808159,9.445756,5.1528263,4.2832499,4.2330461,92.605003,2.4879999,4.9070001
COOK:8100031,29.130234,26.712673,16.079666,10.037333,5.9514031,4.2282457,7.8606343,57.435001,4.7610002,37.804001
COOK:8200040,30.135126,28.121151,16.292042,10.478035,6.3964686,4.4296832,4.1477852,56.147999,3.8559999,39.995998
CITY OF CHICAGO:WARD 48 PRECINCT 26,30.309196,27.751011,16.943602,10.06049,6.3027735,4.3424325,4.2904129,58.192001,4.48,37.327999
CITY OF CHICAGO:WARD 50 PRECINCT 03,28.571058,16.427914,28.02914,6.97932,6.4094591,3.7223604,9.8608351,49.244999,47.830002,2.925
COOK:8100027,35.904835,25.198544,15.560019,9.7741766,5.7652168,4.0290551,3.7679582,87.555,1.419,11.026
COOK:7506002,36.108738,24.637541,16.170122,9.6415014,5.6417809,3.9700024,3.830323,88.739998,1.721,9.5389996
COOK:7506003,36.236286,24.4489,16.395395,9.5854664,5.5593467,3.9471469,3.8274236,89.392998,1.8150001,8.7919998
COOK:8100037,36.54697,23.860455,17.33704,9.1201382,5.522296,3.7151623,3.8979781,90.551003,2.178,7.2709999
COOK:8200056,29.440365,15.518029,29.308285,6.4195781,5.942203,3.6464953,9.7244587,48.32,50.054001,1.626
